season,round,driver,driver_points,driver_wins,driver_standings_pos
2025,1,norris,25,1,1.0
2025,1,max_verstappen,18,0,2.0
2025,1,russell,15,0,3.0
2025,1,antonelli,12,0,4.0
2025,1,albon,10,0,5.0
2025,1,stroll,8,0,6.0
2025,1,hulkenberg,6,0,7.0
2025,1,leclerc,4,0,8.0
2025,1,piastri,2,0,9.0
2025,1,hamilton,1,0,10.0
2025,1,gasly,0,0,11.0
2025,1,tsunoda,0,0,12.0
2025,1,ocon,0,0,13.0
2025,1,bearman,0,0,14.0
2025,1,lawson,0,0,
2025,1,bortoleto,0,0,
2025,1,alonso,0,0,
2025,1,sainz,0,0,
2025,1,doohan,0,0,
2025,1,hadjar,0,0,
2025,2,norris,44,1,1.0
2025,2,max_verstappen,36,0,2.0
2025,2,russell,35,0,3.0
2025,2,piastri,34,1,4.0
2025,2,antonelli,22,0,5.0
2025,2,albon,16,0,6.0
2025,2,ocon,10,0,7.0
2025,2,stroll,10,0,8.0
2025,2,hamilton,9,0,9.0
2025,2,leclerc,8,0,10.0
2025,2,hulkenberg,6,0,11.0
2025,2,bearman,4,0,12.0
2025,2,tsunoda,3,0,13.0
2025,2,sainz,1,0,14.0
2025,2,gasly,0,0,15.0
2025,2,hadjar,0,0,16.0
2025,2,lawson,0,0,17.0
2025,2,doohan,0,0,18.0
2025,2,bortoleto,0,0,19.0
2025,2,alonso,0,0,
2025,3,norris,62,1,1.0
2025,3,max_verstappen,61,1,2.0
2025,3,piastri,49,1,3.0
2025,3,russell,45,0,4.0
2025,3,antonelli,30,0,5.0
2025,3,leclerc,20,0,6.0
2025,3,albon,18,0,7.0
2025,3,hamilton,15,0,8.0
2025,3,ocon,10,0,9.0
2025,3,stroll,10,0,10.0
2025,3,hulkenberg,6,0,11.0
2025,3,bearman,5,0,12.0
2025,3,hadjar,4,0,13.0
2025,3,tsunoda,3,0,14.0
2025,3,sainz,1,0,15.0
2025,3,gasly,0,0,16.0
2025,3,alonso,0,0,17.0
2025,3,lawson,0,0,18.0
2025,3,doohan,0,0,19.0
2025,3,bortoleto,0,0,20.0
2025,4,norris,77,1,1.0
2025,4,piastri,74,2,2.0
2025,4,max_verstappen,69,1,3.0
2025,4,russell,63,0,4.0
2025,4,leclerc,32,0,5.0
2025,4,antonelli,30,0,6.0
2025,4,hamilton,25,0,7.0
2025,4,albon,18,0,8.0
