season,round,circuit_id,driver,date_of_birth,nationality,constructor,grid,time,status,points,podium,url
2025,1,albert_park,norris,1999-11-13,British,mclaren,1,6126304.0,Finished,25.0,1,https://en.wikipedia.org/wiki/2025_Australian_Grand_Prix
2025,1,albert_park,max_verstappen,1997-09-30,Dutch,red_bull,3,6127199.0,Finished,18.0,2,https://en.wikipedia.org/wiki/2025_Australian_Grand_Prix
2025,1,albert_park,russell,1998-02-15,British,mercedes,4,6134785.0,Finished,15.0,3,https://en.wikipedia.org/wiki/2025_Australian_Grand_Prix
2025,1,albert_park,antonelli,2006-08-25,Italian,mercedes,16,6136439.0,Finished,12.0,4,https://en.wikipedia.org/wiki/2025_Australian_Grand_Prix
2025,1,albert_park,albon,1996-03-23,Thai,williams,6,6139077.0,Finished,10.0,5,https://en.wikipedia.org/wiki/2025_Australian_Grand_Prix
2025,1,albert_park,stroll,1998-10-29,Canadian,aston_martin,13,6143717.0,Finished,8.0,6,https://en.wikipedia.org/wiki/2025_Australian_Grand_Prix
2025,1,albert_park,hulkenberg,1987-08-19,German,sauber,17,6144727.0,Finished,6.0,7,https://en.wikipedia.org/wiki/2025_Australian_Grand_Prix
2025,1,albert_park,leclerc,1997-10-16,Monegasque,ferrari,7,6146130.0,Finished,4.0,8,https://en.wikipedia.org/wiki/2025_Australian_Grand_Prix
2025,1,albert_park,piastri,2001-04-06,Australian,mclaren,2,6146752.0,Finished,2.0,9,https://en.wikipedia.org/wiki/2025_Australian_Grand_Prix
2025,1,albert_park,hamilton,1985-01-07,British,ferrari,8,6148777.0,Finished,1.0,10,https://en.wikipedia.org/wiki/2025_Australian_Grand_Prix
2025,1,albert_park,gasly,1996-02-07,French,alpine,9,6152806.0,Finished,0.0,11,https://en.wikipedia.org/wiki/2025_Australian_Grand_Prix
2025,1,albert_park,tsunoda,2000-05-11,Japanese,rb,5,6156188.0,Finished,0.0,12,https://en.wikipedia.org/wiki/2025_Australian_Grand_Prix
2025,1,albert_park,ocon,1996-09-17,French,haas,19,6159465.0,Finished,0.0,13,https://en.wikipedia.org/wiki/2025_Australian_Grand_Prix
2025,1,albert_park,bearman,2005-05-08,British,haas,20,6166655.0,Finished,0.0,14,https://en.wikipedia.org/wiki/2025_Australian_Grand_Prix
2025,1,albert_park,lawson,2002-02-11,New Zealander,red_bull,18,,Retired,0.0,15,https://en.wikipedia.org/wiki/2025_Australian_Grand_Prix
2025,1,albert_park,bortoleto,2004-10-14,Brazilian,sauber,15,,Retired,0.0,16,https://en.wikipedia.org/wiki/2025_Australian_Grand_Prix
2025,1,albert_park,alonso,1981-07-29,Spanish,aston_martin,12,,Retired,0.0,17,https://en.wikipedia.org/wiki/2025_Australian_Grand_Prix
2025,1,albert_park,sainz,1994-09-01,Spanish,williams,10,,Retired,0.0,18,https://en.wikipedia.org/wiki/2025_Australian_Grand_Prix
2025,1,albert_park,doohan,2003-01-20,Australian,alpine,14,,Retired,0.0,19,https://en.wikipedia.org/wiki/2025_Australian_Grand_Prix
2025,1,albert_park,hadjar,2004-09-28,French,rb,11,,Retired,0.0,20,https://en.wikipedia.org/wiki/2025_Australian_Grand_Prix
2025,2,shanghai,piastri,2001-04-06,Australian,mclaren,1,5455026.0,Finished,25.0,1,https://en.wikipedia.org/wiki/2025_Chinese_Grand_Prix
2025,2,shanghai,norris,1999-11-13,British,mclaren,3,5464774.0,Finished,18.0,2,https://en.wikipedia.org/wiki/2025_Chinese_Grand_Prix
2025,2,shanghai,russell,1998-02-15,British,mercedes,2,5466123.0,Finished,15.0,3,https://en.wikipedia.org/wiki/2025_Chinese_Grand_Prix
2025,2,shanghai,max_verstappen,1997-09-30,Dutch,red_bull,4,5471682.0,Finished,12.0,4,https://en.wikipedia.org/wiki/2025_Chinese_Grand_Prix
